2021-01-02 22:07:55.143 +05 [77020] LOG kernel file descriptor limit: 1024 (hard: 1048576); max_client_conn: 100, max expected fd use: 152
2021-01-02 22:07:55.145 +05 [77020] LOG listening on [::1]:6432
2021-01-02 22:07:55.145 +05 [77020] WARNING cannot listen on 127.0.0.1:6432: bind(): Address already in use
2021-01-02 22:07:55.146 +05 [77020] LOG listening on unix:/tmp/.s.PGSQL.6432
2021-01-02 22:07:55.146 +05 [77020] LOG process up: PgBouncer 1.14.0, libevent 2.1.12-stable (epoll), adns: c-ares 1.16.1, tls: OpenSSL 1.1.1f  31 Mar 2020
2021-01-02 22:08:55.142 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:09:55.142 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:10:55.143 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:11:55.143 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:12:55.143 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:13:55.146 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:14:55.141 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:15:55.142 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:16:55.142 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:17:55.144 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
2021-01-02 22:18:55.141 +05 [77020] LOG stats: 0 xacts/s, 0 queries/s, in 0 B/s, out 0 B/s, xact 0 us, query 0 us, wait 0 us
